impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-110152,A562763,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886183,LOST,Luna,Cat,,,European Shorthair,Unknown,07/01/2018 12:00:00 AM,Date Lost,10700 SE 293RD ST,AUBURN,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886183,Image Copyright HLP Inc. 2018,,
K18-108925,A559341,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871043,LOST,Sammi,Dog,,Female,Miniature Poodle,Unknown,06/03/2018 12:00:00 AM,Date Lost,24200 SE 11TH PL,SAMMAMISH,WA,98075,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871043,Image Copyright HLP Inc. 2018,,
K18-108816,A559165,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1870038,LOST,Scout/peache,Cat,,Female,Domestic Shorthair,Unknown,05/31/2018 12:00:00 AM,Date Lost,15400 SE 251ST ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1870038,Image Copyright HLP Inc. 2018,,
K18-108950,A559441,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871379,LOST,Pablo,Cat,,Male,Domestic Shorthair,Unknown,06/01/2018 12:00:00 AM,Date Lost,1100 NE HICKORY LN,ISSAQUAH,WA,98029,ISSAQUAH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871379,Image Copyright HLP Inc. 2018,,
K18-110192,A562952,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1886711,LOST,Coco,Dog,,Male,Shih Tzu,Unknown,07/10/2018 12:00:00 AM,Date Lost,14400 88TH AVE NE,KIRKLAND,WA,98034,KIRKLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1886711,Image Copyright HLP Inc. 2018,,
K18-108938,A559353,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871173,LOST,Jj,Cat,,Female,Domestic Longhair,Unknown,05/31/2018 12:00:00 AM,Date Lost,29TH ST DOWNTOWN TACOMA,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871173,Image Copyright HLP Inc. 2018,,
K18-109809,A561811,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1880887,In Public Home,,Cat,,Male,Domestic Mediumhair,Brown / Black,06/16/2018 12:00:00 AM,Date Found,4900 LAKEMONT BLVD SE,BELLEVUE,WA,98006,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1880887,Image Copyright HLP Inc. 2018,,
K18-110096,A562603,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1885652,LOST,Jamie,Cat,,Female,Domestic Shorthair,Unknown,07/07/2018 12:00:00 AM,Date Lost,3400 W AMES LAKE DR NE,REDMOND,WA,98053,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1885652,Image Copyright HLP Inc. 2018,,
K18-108936,A559352,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1871154,LOST,Bunbun,Rabbit,,Male,Rabbit,Unknown,06/02/2018 12:00:00 AM,Date Lost,25700 LAWSON ST,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1871154,Image Copyright HLP Inc. 2018,,
K18-109338,A560389,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1875413,LOST,Bento,Dog,,Female,Shiba Inu,Unknown,06/14/2018 12:00:00 AM,Date Lost,17700 NE 90TH ST,APT,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1875413,Image Copyright HLP Inc. 2018,,
K18-109541,A560955,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1878007,LOST,Sawyer,Cat,,Male,Domestic Mediumhair,Unknown,06/12/2018 12:00:00 AM,Date Lost,CEDAR FALLS WAY AND 436TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1878007,Image Copyright HLP Inc. 2018,,
